word_id,sentence_id,sentence,word,tag
17,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",training,ENG
18,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",activities,ENG
19,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",sa,FIL
20,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",mga,FIL
21,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Games,ENG
22,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",and,ENG
23,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Amusement,ENG
24,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Board-regulated,ENG
25,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",sports,ENG
26,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",ngayong,FIL
27,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",taon,FIL
28,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",sa,FIL
29,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",pahintulot,FIL
30,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",nina,FIL
31,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",GAB,OTH
32,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Chairman,ENG
33,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Abraham,OTH
34,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Kahlil,OTH
35,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Mitra,OTH
36,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",",",OTH
37,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",at,FIL
38,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Commissioners,ENG
39,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Ed,OTH
40,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Trinidad,OTH
41,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",at,FIL
42,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Mar,OTH
43,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Masanguid,OTH
44,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",.,OTH
45,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,Gusto,FIL
46,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,kong,FIL
47,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,intindihin,FIL
48,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,pero,FIL
49,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,hindi,FIL
50,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,ko,FIL
51,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,maintindihan,FIL
52,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,hahaha,OTH
53,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,paano,FIL
54,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,ba,FIL
55,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,itong,FIL
56,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,mga,FIL
57,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,draw,ENG
58,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,na,FIL
59,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,ganyan,FIL
60,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,po,FIL
61,1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?,?,OTH
62,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,Kaya,FIL
63,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kayong,FIL
64,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,mga,FIL
65,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,babae,FIL
66,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,wag,FIL
67,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kayong,FIL
68,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,basta,FIL
69,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,basta,FIL
70,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,magtiwala,FIL
71,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,na,FIL
72,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kahit,FIL
73,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kanino,FIL
74,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kasi,FIL
75,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,.,OTH
76,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",Kasalan,FIL
77,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",naman,FIL
78,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",nila,FIL
79,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",bakit,FIL
80,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",hindi,FIL
81,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",nila,FIL
82,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",sinabi,FIL
83,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",agad,FIL
84,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",ang,FIL
85,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",totuo,FIL
86,3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,",",",OTH
87,4,At sila-sila rin ang umuunlad ?,At,FIL
88,4,At sila-sila rin ang umuunlad ?,sila-sila,FIL
89,4,At sila-sila rin ang umuunlad ?,rin,FIL
90,4,At sila-sila rin ang umuunlad ?,ang,FIL
91,4,At sila-sila rin ang umuunlad ?,umuunlad,FIL
92,4,At sila-sila rin ang umuunlad ?,?,OTH
93,5,Nakakamiss ung mga gantong content ni kuya lloyd .,Nakakamiss,CS
94,5,Nakakamiss ung mga gantong content ni kuya lloyd .,ung,FIL
95,5,Nakakamiss ung mga gantong content ni kuya lloyd .,mga,FIL
96,5,Nakakamiss ung mga gantong content ni kuya lloyd .,gantong,FIL
97,5,Nakakamiss ung mga gantong content ni kuya lloyd .,content,ENG
98,5,Nakakamiss ung mga gantong content ni kuya lloyd .,ni,FIL
99,5,Nakakamiss ung mga gantong content ni kuya lloyd .,kuya,FIL
100,5,Nakakamiss ung mga gantong content ni kuya lloyd .,lloyd,OTH
101,5,Nakakamiss ung mga gantong content ni kuya lloyd .,.,OTH
102,6,pero pag nag bibigay ako sa thai artist hindi naman ?,pero,FIL
103,6,pero pag nag bibigay ako sa thai artist hindi naman ?,pag,FIL
104,6,pero pag nag bibigay ako sa thai artist hindi naman ?,nag,FIL
105,6,pero pag nag bibigay ako sa thai artist hindi naman ?,bibigay,FIL
106,6,pero pag nag bibigay ako sa thai artist hindi naman ?,ako,FIL
107,6,pero pag nag bibigay ako sa thai artist hindi naman ?,sa,FIL
108,6,pero pag nag bibigay ako sa thai artist hindi naman ?,thai,ENG
109,6,pero pag nag bibigay ako sa thai artist hindi naman ?,artist,ENG
110,6,pero pag nag bibigay ako sa thai artist hindi naman ?,hindi,FIL
111,6,pero pag nag bibigay ako sa thai artist hindi naman ?,naman,FIL
112,6,pero pag nag bibigay ako sa thai artist hindi naman ?,?,OTH
113,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",Sa,FIL
114,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",pamamagitan,FIL
115,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",ng,FIL
116,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",pagsunod,FIL
117,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",sa,FIL
118,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",daan,FIL
119,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",na,FIL
120,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",ginawa,FIL
121,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",ng,FIL
122,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",bundok,FIL
123,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",",",OTH
124,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",nagawa,FIL
125,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",ng,FIL
126,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",maliit,FIL
127,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",na,FIL
128,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",sapa,FIL
129,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",na,FIL
130,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",makabalik,FIL
131,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",sa,FIL
132,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",tahanan,FIL
133,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",nito,FIL
134,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",;,OTH
135,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",sumama,FIL
136,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",ito,FIL
137,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",sa,FIL
138,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",ilog,FIL
139,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",",",OTH
140,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",at,FIL
141,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",dumaloy,FIL
142,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",sa,FIL
143,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",dagat,FIL
144,7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat .",.,OTH
145,8,Sana maging ihimplo ka nang mga Youtuber .,Sana,FIL
146,8,Sana maging ihimplo ka nang mga Youtuber .,maging,FIL
147,8,Sana maging ihimplo ka nang mga Youtuber .,ihimplo,FIL
148,8,Sana maging ihimplo ka nang mga Youtuber .,ka,FIL
149,8,Sana maging ihimplo ka nang mga Youtuber .,nang,FIL
150,8,Sana maging ihimplo ka nang mga Youtuber .,mga,FIL
151,8,Sana maging ihimplo ka nang mga Youtuber .,Youtuber,ENG
152,8,Sana maging ihimplo ka nang mga Youtuber .,.,OTH
153,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,Ako,FIL
154,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,na,FIL
155,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,lng,FIL
156,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,epadala,FIL
157,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,sa,FIL
158,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,akin,FIL
159,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,welleng,ENG
160,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,ako,FIL
161,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,mag,FIL
162,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,alaga,FIL
163,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,ka,FIL
164,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,mga,FIL
165,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,anak,FIL
166,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,mo,FIL
167,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,maarod,FIL
168,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,kaw,FIL
169,9,Ako na lng epadala sa akin welleng ako mag alaga ka mga anak mo maarod kaw cge Basta padal an mo at may kasuduan Tayo para sa mga anak mo,cge,FIL
